epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1814,2.08743,4.29453,1.66151,0.00197,0.19167,0.00242,0.00076,2.14164,4.43583,1.87127,6.664e-05,6.664e-05,6.664e-05
2,41.3983,1.50143,4.14209,1.36982,0.01563,0.72431,0.11505,0.04868,1.21027,4.03954,1.2028,0.000138806,0.000138806,0.000138806
3,61.4013,1.29051,3.7301,1.234,0.0145,0.68403,0.1108,0.05992,1.09063,4.00095,1.09525,0.000208003,0.000208003,0.000208003
4,77.9291,1.27333,3.34739,1.19333,0.01222,0.69965,0.14816,0.06273,0.97532,3.97585,1.08138,0.000274232,0.000274232,0.000274232
5,95.8561,1.26861,3.11254,1.20542,0.01192,0.76528,0.16221,0.07699,0.98144,3.88028,1.10242,0.000337492,0.000337492,0.000337492
6,114.049,1.20119,2.92558,1.18119,0.01253,0.89028,0.17608,0.10173,1.03207,3.63827,1.11446,0.000397782,0.000397782,0.000397782
7,131.225,1.15984,2.84113,1.1751,0.79399,0.1,0.19252,0.09456,1.07859,3.48868,1.18857,0.000455105,0.000455105,0.000455105
8,148.155,1.16064,2.73722,1.14226,0.80481,0.125,0.26266,0.12748,1.18242,3.19924,1.23793,0.000509458,0.000509458,0.000509458
9,165.571,1.15002,2.63159,1.13413,0.52322,0.20139,0.25101,0.13264,1.14746,2.99766,1.21867,0.000560842,0.000560842,0.000560842
10,180.821,1.15423,2.48802,1.11681,0.29029,0.49523,0.36908,0.19468,0.99883,2.90363,1.09842,0.000609258,0.000609258,0.000609258
11,197.686,1.10005,2.4306,1.10335,0.60903,0.37975,0.4522,0.23874,0.98703,2.73657,1.07612,0.000654705,0.000654705,0.000654705
12,212.804,1.1276,2.50454,1.13281,0.39732,0.5409,0.52875,0.29442,0.95181,2.54367,1.07007,0.000651573,0.000651573,0.000651573
13,228.058,1.0798,2.35333,1.10225,0.36543,0.70035,0.5092,0.28421,1.08,2.32275,1.14129,0.000635079,0.000635079,0.000635079
14,243.526,1.06838,2.37075,1.09813,0.35058,0.67655,0.48438,0.2669,1.0832,2.27502,1.09672,0.000618586,0.000618586,0.000618586
15,260.462,1.07623,2.28154,1.07235,0.31633,0.64884,0.48704,0.28751,1.02122,2.34022,1.07093,0.000602092,0.000602092,0.000602092
16,277.861,1.06688,2.30434,1.10066,0.29988,0.64271,0.45348,0.24965,0.9435,2.36238,1.04022,0.000585599,0.000585599,0.000585599
17,293.079,1.02316,2.25625,1.07475,0.32462,0.73391,0.47411,0.24722,0.97268,2.30302,1.0485,0.000569106,0.000569106,0.000569106
18,308.16,1.04892,2.25781,1.09045,0.31272,0.80615,0.55945,0.28418,0.93738,2.31137,1.04714,0.000552612,0.000552612,0.000552612
19,323.902,1.03038,2.22069,1.07486,0.31399,0.65832,0.50454,0.30361,0.86983,2.2286,1.03245,0.000536119,0.000536119,0.000536119
20,339.965,0.92292,2.15395,1.04906,0.28207,0.60673,0.51184,0.30168,0.8339,2.25673,1.02827,0.000519625,0.000519625,0.000519625
21,356.021,0.91068,2.14412,1.02598,0.28458,0.61829,0.55046,0.30462,0.88774,2.23882,1.07703,0.000503132,0.000503132,0.000503132
22,371.484,0.94106,2.13444,1.0405,0.34106,0.83912,0.55787,0.32917,0.91603,2.14941,1.1214,0.000486639,0.000486639,0.000486639
23,387.805,0.96133,2.0808,1.05045,0.31586,0.87917,0.56852,0.31116,0.91003,2.11271,1.11849,0.000470145,0.000470145,0.000470145
24,407.565,0.95395,2.1206,1.05313,0.33922,0.82276,0.53744,0.32051,0.88164,2.14812,1.12721,0.000453652,0.000453652,0.000453652
25,424.851,0.92816,2.09933,1.04882,0.30868,0.85654,0.52474,0.31095,0.84811,2.20303,1.10345,0.000437158,0.000437158,0.000437158
26,442.064,0.89787,2.08128,1.03662,0.30197,0.69753,0.5188,0.30609,0.82162,2.20981,1.05006,0.000420665,0.000420665,0.000420665
27,460.835,0.92904,2.12365,1.04401,0.52454,0.58299,0.52269,0.29542,0.81142,2.13213,1.01693,0.000404172,0.000404172,0.000404172
28,477.627,0.91956,2.06035,1.01512,0.54992,0.62551,0.55474,0.29736,0.81662,2.17641,1.00426,0.000387678,0.000387678,0.000387678
29,496.725,0.8874,2.05589,1.01331,0.49915,0.60968,0.56433,0.32378,0.79445,2.13132,0.99571,0.000371185,0.000371185,0.000371185
30,514.703,0.88582,2.03176,1.01622,0.56113,0.5666,0.60282,0.33133,0.80421,2.10008,1.00034,0.000354691,0.000354691,0.000354691
31,531.009,0.86663,2.0319,1.01676,0.72433,0.47209,0.60431,0.32428,0.82654,2.11072,1.01784,0.000338198,0.000338198,0.000338198
32,548.452,0.91689,2.09572,1.03743,0.23561,0.81667,0.57234,0.30521,0.81959,2.12851,1.02086,0.000321705,0.000321705,0.000321705
33,565.637,0.87422,1.98043,1.02841,0.40272,0.62624,0.61194,0.30959,0.80021,2.13647,1.00644,0.000305211,0.000305211,0.000305211
34,583.635,0.8658,2.07516,0.99514,0.48773,0.71931,0.60672,0.32027,0.78849,2.1044,0.99894,0.000288718,0.000288718,0.000288718
35,604.946,0.85975,2.02731,1.00998,0.58633,0.68601,0.68663,0.41334,0.79896,2.04703,0.99719,0.000272224,0.000272224,0.000272224
36,623.158,0.87243,1.96876,0.98137,0.49722,0.72938,0.70027,0.39566,0.77407,2.04125,0.9938,0.000255731,0.000255731,0.000255731
37,641.307,0.82441,1.99025,0.98046,0.4214,0.79703,0.67366,0.41143,0.75728,2.04221,0.99478,0.000239238,0.000239238,0.000239238
38,659.326,0.84407,2.05379,1.01844,0.39281,0.79614,0.66015,0.40333,0.77413,2.02562,1.01242,0.000222744,0.000222744,0.000222744
39,676.87,0.85267,1.98776,1.02071,0.34846,0.85348,0.66194,0.40211,0.78564,2.02347,1.02367,0.000206251,0.000206251,0.000206251
40,695.279,0.85165,2.01659,1.03772,0.39225,0.84452,0.64445,0.38659,0.78615,2.04286,1.02423,0.000189757,0.000189757,0.000189757
41,714.762,0.72004,2.09454,0.96456,0.42417,0.82969,0.60286,0.35346,0.80393,2.05019,1.03012,0.000173264,0.000173264,0.000173264
42,735.413,0.7253,2.07131,0.97241,0.46271,0.75054,0.58872,0.32173,0.80974,2.06802,1.02437,0.000156771,0.000156771,0.000156771
43,753.102,0.75541,2.07335,0.96964,0.42718,0.80104,0.56745,0.31107,0.82576,2.08852,1.0163,0.000140277,0.000140277,0.000140277
44,776.166,0.77686,2.06117,0.97906,0.40441,0.78856,0.57374,0.27766,0.82231,2.12466,1.01115,0.000123784,0.000123784,0.000123784
45,799.559,0.72984,2.0638,0.9548,0.39082,0.78438,0.57704,0.28116,0.81188,2.13855,1.00487,0.00010729,0.00010729,0.00010729
