epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.261,2.61552,4.67406,2.06133,0.31716,0.29712,0.09538,0.02509,2.31695,6.21268,1.57325,0.00017493,0.00017493,0.00017493
2,386.725,2.07194,2.96656,1.69312,0.08287,0.31676,0.0946,0.02394,2.24891,3.66636,1.98672,0.000354644,0.000354644,0.000354644
3,563.567,1.97552,2.61234,1.60081,0.67492,0.24977,0.22504,0.07197,2.20669,2.9224,1.96037,0.000530729,0.000530729,0.000530729
4,737.804,1.9301,2.46159,1.6453,0.43553,0.12983,0.22207,0.07472,2.07718,3.15298,1.90312,0.000703186,0.000703186,0.000703186
5,915.194,1.9386,2.44316,1.65875,0.56452,0.07844,0.08157,0.0231,2.5767,3.75151,2.41332,0.000800013,0.000800013,0.000800013
6,1136.84,1.95852,2.22817,1.62334,0.28387,0.59427,0.36896,0.12426,2.03442,2.24394,1.70042,0.000791767,0.000791767,0.000791767
7,1351.39,1.89895,2.17342,1.58472,0.2778,0.51045,0.32108,0.10723,1.9939,2.41799,1.71947,0.00078352,0.00078352,0.00078352
8,1531.38,1.90012,2.10144,1.60705,0.31968,0.38779,0.21928,0.06921,1.87272,2.68919,1.68333,0.000775273,0.000775273,0.000775273
9,1706.25,1.90398,2.06778,1.55359,0.38024,0.47902,0.40826,0.14859,1.85664,2.27092,1.55767,0.000767026,0.000767026,0.000767026
10,1876.24,1.82006,2.02101,1.50863,0.46976,0.61032,0.56634,0.20461,1.79268,1.9569,1.54528,0.00075878,0.00075878,0.00075878
11,2048.81,1.83836,1.94738,1.48085,0.38334,0.55321,0.44776,0.17338,1.85358,2.04461,1.58935,0.000750533,0.000750533,0.000750533
12,2218.78,1.82586,1.92231,1.48152,0.45899,0.62615,0.56313,0.21403,1.8581,1.85416,1.54802,0.000742286,0.000742286,0.000742286
13,2391.22,1.75789,1.86755,1.44651,0.45351,0.69848,0.62987,0.24825,1.86859,1.73124,1.53094,0.00073404,0.00073404,0.00073404
14,2565.9,1.8012,1.77683,1.4316,0.46259,0.71793,0.6181,0.20687,1.92096,1.77309,1.59962,0.000725793,0.000725793,0.000725793
15,2735.52,1.76249,1.81232,1.43094,0.48599,0.70299,0.60531,0.22068,1.75993,1.90378,1.49538,0.000717546,0.000717546,0.000717546
16,2902.52,1.76694,1.85109,1.45852,0.66133,0.62623,0.65194,0.2554,1.69961,1.73347,1.45611,0.000709299,0.000709299,0.000709299
17,3069.45,1.72328,1.77391,1.4262,0.61536,0.56398,0.60918,0.22906,1.74244,1.79483,1.52125,0.000701053,0.000701053,0.000701053
18,3221.57,1.69979,1.74699,1.40506,0.46254,0.68797,0.59104,0.24276,1.7876,1.70809,1.56451,0.000692806,0.000692806,0.000692806
19,3377.13,1.70921,1.73777,1.40317,0.44574,0.67884,0.58216,0.2481,1.7368,1.67472,1.47843,0.000684559,0.000684559,0.000684559
20,3527.82,1.66619,1.70893,1.39879,0.39834,0.70119,0.57206,0.22905,1.84346,1.74018,1.59316,0.000676313,0.000676313,0.000676313
21,3684.29,1.65498,1.65959,1.38893,0.5186,0.72655,0.66573,0.29898,1.55667,1.63092,1.40799,0.000668066,0.000668066,0.000668066
22,3842.04,1.63933,1.64505,1.37241,0.46841,0.74131,0.62929,0.26021,1.71878,1.62481,1.50624,0.000659819,0.000659819,0.000659819
23,3998.31,1.60643,1.64328,1.36437,0.43776,0.73249,0.61524,0.26404,1.61218,1.65178,1.44572,0.000651573,0.000651573,0.000651573
24,4157.54,1.59414,1.62318,1.33331,0.42619,0.67025,0.61571,0.24943,1.71957,1.64461,1.48628,0.000643326,0.000643326,0.000643326
25,4314.21,1.59955,1.63985,1.35255,0.42368,0.74169,0.65104,0.28303,1.57604,1.64412,1.41496,0.000635079,0.000635079,0.000635079
26,4468.39,1.63851,1.62848,1.36336,0.48359,0.76739,0.71101,0.31559,1.63333,1.50305,1.38914,0.000626832,0.000626832,0.000626832
27,4629.96,1.62341,1.61679,1.33434,0.44517,0.732,0.62853,0.24599,1.73305,1.66935,1.50742,0.000618586,0.000618586,0.000618586
28,4783.51,1.60151,1.61875,1.3492,0.73805,0.63331,0.67834,0.31768,1.50894,1.49983,1.33789,0.000610339,0.000610339,0.000610339
29,4933,1.55111,1.57719,1.30248,0.46236,0.82124,0.64988,0.29773,1.53187,1.49136,1.35878,0.000602092,0.000602092,0.000602092
30,32928.7,1.51472,1.59066,1.31626,0.50036,0.71867,0.63332,0.3005,1.49563,1.56269,1.37558,0.000593846,0.000593846,0.000593846
31,33115.7,1.48366,1.55438,1.27407,0.44529,0.75076,0.64115,0.28726,1.52841,1.52725,1.40976,0.000585599,0.000585599,0.000585599
